Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Grand Theft Auto V,PS4,2014,Action,Rockstar Games,6.06,9.71,0.6,3.02,19.39
Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision,6.18,6.05,0.41,2.44,15.09
Call of Duty: WWII,PS4,2017,Shooter,Activision,4.67,6.21,0.4,2.12,13.4
FIFA 18,PS4,2017,Sports,EA Sports,1.27,8.64,0.15,1.73,11.8
FIFA 17,PS4,2016,Sports,Electronic Arts,1.26,7.95,0.12,1.61,10.94
Uncharted PS4,PS4,2016,Action,Sony Interactive Entertainment,4.49,3.93,0.21,1.7,10.33
Grand Theft Auto V,XOne,2014,Action,Rockstar Games,4.7,3.25,0.01,0.76,8.72
Call of Duty: Infinite Warfare,PS4,2016,Shooter,Activision,3.11,3.83,0.19,1.36,8.48
Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,2.91,3.97,0.27,1.34,8.48
FIFA 16,PS4,2015,Sports,EA Sports,1.15,5.77,0.07,1.23,8.22
Star Wars Battlefront 2015,PS4,2015,Shooter,Electronic Arts,3.31,3.19,0.23,1.3,8.03
Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,2.84,3.34,0.14,1.22,7.53
Call of Duty: Black Ops 3,XOne,2015,Shooter,Activision,4.63,2.04,0.02,0.68,7.37
Battlefield 1,PS4,2016,Shooter,Electronic Arts,2.2,3.65,0.29,1.12,7.26
The Last of Us,PS4,2014,Action-Adventure,Sony Computer Entertainment,2.7,2.86,0.11,1.1,6.77
MineCraft,PS4,2014,Misc,Sony Computer Entertainment,1.89,3.13,0.35,0.96,6.33
FIFA 15,PS4,2014,Sports,EA Sports,0.83,4.49,0.05,0.94,6.32
Call of Duty: WWII,XOne,2017,Shooter,Activision,3.75,1.91,0,0.57,6.23
Horizon: Zero Dawn,PS4,2017,Action,Sony Interactive Entertainment,2.2,2.43,0.28,0.92,5.82
Destiny,PS4,2014,Shooter,Activision,2.53,2.13,0.16,0.94,5.76
Uncharted: The Nathan Drake Collection,PS4,2015,Action,Sony Computer Entertainment,2.55,2.11,0.1,0.94,5.7
MineCraft,XOne,2014,Misc,Microsoft Studios,3.23,1.71,0,0.49,5.43
The Witcher 3: Wild Hunt,PS4,2015,Role-Playing,Namco Bandai Games,1.48,2.82,0.28,0.81,5.39
Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision,3.25,1.49,0.01,0.48,5.22
Battlefield 1,XOne,2016,Shooter,Electronic Arts,3.37,1.26,0.02,0.48,5.13
Final Fantasy XV,PS4,2016,Role-Playing,Square Enix,1.81,1.53,1.05,0.68,5.07
Fallout 4,XOne,2015,Role-Playing,Bethesda Softworks,2.94,1.62,0.02,0.45,5.03
